"HAFAS_ID";"RMV_ID";"DHID";"HST_NAME";"NAME_FAHRPLAN";"X_IPL_WERT";"Y_IPL_WERT";"X_WGS84";"Y_WGS84";"LNO";"IST_BAHNHOF";"GUELTIG_AB";"GUELTIG_BIS";"VERBUND_1_ISTGLEICH_RMV";"LAND";"RP";"LANDKREIS";"GEMEINDENAME";"ORTSTEILNAME";"AGS_LAND";"AGS_RP";"AGS_LK";"AGS_G";"AGS_OT"
"3016360";"16360";"";"Mitte";"Dornburg-Dorndorf Mitte";"3429219";"5597009";"8,0012674063046";"50,5045631654171";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Dornburg";"Dorndorf";"06";"5";"33";"004";"010"
"3016361";"16361";"";"West";"Dornburg-Dorndorf West";"3428884";"5596961";"7,99655514968395";"50,504091099349";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Dornburg";"Dorndorf";"06";"5";"33";"004";"010"
"3016365";"16365";"";"Waldstraße";"Dornburg-Frickhofen Waldstraße";"3431272";"5597386";"8,0301326480793";"50,5081965862487";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Dornburg";"Frickhofen";"06";"5";"33";"004";"020"
"3016366";"16366";"";"Bahnhofstraße";"Dornburg-Langendernbach Bahnhofstraße";"3432159";"5600478";"8,04207208297645";"50,5360922463343";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Dornburg";"Langendernbach";"06";"5";"33";"004";"030"
"3016367";"16367";"";"Mitte";"Dornburg-Langendernbach Mitte";"3432522";"5600899";"8,04711530376317";"50,5399183871737";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Dornburg";"Langendernbach";"06";"5";"33";"004";"030"
"3016368";"16368";"";"Sportzentrum";"Bad Camberg Sportzentrum";"3447695";"5574405";"8,26483186794874";"50,3033180835098";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016369";"16369";"";"Bahnhofstraße";"Dornburg-Wilsenroth Bahnhofstraße";"3431309";"5599773";"8,03021430137899";"50,5296561596781";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Dornburg";"Wilsenroth";"06";"5";"33";"004";"050"
"3016370";"16370";"";"Dorfmuseum";"Dornburg-Wilsenroth Dorfmuseum";"3430666";"5599650";"8,02117003572139";"50,5284746715803";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Dornburg";"Wilsenroth";"06";"5";"33";"004";"050"
"3016372";"16372";"";"Neumarkt";"Bad Camberg Neumarkt";"3448026";"5573585";"8,26959050231951";"50,2959761974113";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Bad Camberg";"06";"5";"33";"003";"010"
"3016377";"16377";"";"Mauritiusstraße";"Bad Camberg-Erbach Mauritiusstraße";"3446850";"5575154";"8,25286658876513";"50,3099753434786";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Bad Camberg";"Erbach";"06";"5";"33";"003";"030"
"3016381";"16381";"";"Melanderplatz";"Hadamar Melanderplatz";"3432259";"5590814";"8,04523604103447";"50,449239541323";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Hadamar";"Hadamar";"06";"5";"33";"007";"010"
"3016384";"16384";"";"Wendelinus-/Kirchstraße";"Limburg (Lahn)-Lindenholzhausen Wendeli.-/Kirchstr";"3437564";"5582504";"8,12130223794414";"50,3751321360542";"VLDWLLW";"0";"13.08.2012";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Lindenholzhausen";"06";"5";"33";"009";"050"
"3016385";"16385";"";"Eschhöfer Weg";"Limburg (Lahn) Eschhöfer Weg";"3433860";"5583882";"8,06899728947069";"50,3871132858991";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Limburg a.d.Lahn";"06";"5";"33";"009";"040"
"3016386";"16386";"";"Friedhof";"Limburg (Lahn)-Eschhofen Friedhof";"3435740";"5584205";"8,09537347016431";"50,3902253387759";"VLDWLLW";"0";"01.01.1995";"";"1";"Hessen";"Gießen";"Limburg-Weilburg";"Limburg a.d.Lahn";"Eschhofen";"06";"5";"33";"009";"030"
